createTime|dependencyTime|account|loanId|amount
1669691125985|1665258357279|4771000855245620167|4895975744905151064|60147599.17
1669691789420|1667940450700|4813503576728928325|4904701469183180858|3364604.68
1669692468654|1669566575479|196188058767328750|298363475313296319|25546574.82
1669692786159|1661652863486|184084634768772301|272749252432627748|5108660.15
1669693025679|1666232932056|4817162751426177469|4899353444625684841|832572.97
1669693221700|1657207827641|110338190870581046|258112553643673992|40384345.85
1669693293270|1651220132949|167196136166133443|238690780250638672|29473566.52
1669693838538|1607292576958|4644055640749123751|4707387510509017301|2203883.77
1669694097958|1669391946786|4803651952544057580|4909486543787263345|117957.45
1669694886873|1666561727281|4793518853382473991|4900197869555811719|23746582.05
1669695392142|1640603418764|4784793129104452085|4815755376542620058|70400844.18
1669696188553|1661661211841|202943458208385717|272749252432627406|206266.23
1669696226976|1641667143759|4765652830688125839|4819414551239857579|260261.91
1669697101930|1661211458837|4805622277381046627|4883027895976470586|484957.03
1669697204164|1616878688344|126945214496511256|90634942500834560|27881263.1
1669697591986|1665823111197|4798303927986565345|4897946069742132735|2822635.16
1669698340827|1666771013370|182958734861930730|289356276058557059|434590.04
1669698586201|1657917182259|175077435514028411|260645828434067689|233547.47
1669698683857|1667498345744|4803933427520767283|4903294094299628348|1480424.95
1669699002123|1655128942904|4795207703242745877|4863043172630009983|9691782.9
1669699024961|1657718332087|4814629476635786943|4871487421931333261|23917124.7
1669699107888|1640186310951|4791548528545500989|4814348001659062619|2958976.06
1669699396503|1645372369527|4812096201845386641|4831236500261706717|10081207.81
1669699436383|1659075833573|4776630354779841398|4875991021558699418|8019645.0
1669699493097|1652459430681|198721333557725655|242631429924587056|12575098.18
1669699936561|1651734217847|4815192426589202850|4852065648538294623|16359448.93
1669700244467|1642746964764|4766215780641541063|4822792250960381777|4863368.86
1669700268746|1665088034231|182958734861927164|283726776524341722|12808707.31
1669700778034|1639506223792|4812377676822090190|4765934305664830163|21989193.89
1669701000506|1661025867500|155374187144284817|270497452618942124|547699.34
1669701116955|1669029380505|4753267931712859396|4908360643880426373|14705091.73
1669701175421|1619446206149|135389463797830843|125537839612955847|13536892.82
1669701176819|1660185219231|4783948704174321716|4879650196255939967|327241.52
1669701258853|1641495816394|204632308068650939|207165582859045334|6651169.55
1669701448195|1652958976831|4725683383995215206|4856006298212244421|10174921.09
1669701544262|1668361590206|4807874077194725463|4906108844066740378|9682616.65
1669702035474|1644847271236|97671816918600968|217861631974049864|42182900.53
1669702468632|1654637255475|205195258022069612|249949779319063392|677545.95
1669702595759|1664250321101|4810688826961828304|4892879520161337305|588656.18
1669703732708|1660845919937|4774660029942874606|4881620521092917421|15315194.25
1669704194562|1666806846810|4763401030874441178|4901042294485948140|12134865.48
1669704319889|1626156023209|4747356957201938293|4768749055431942679|3422508.57
1669704725677|1669646326301|4797740978033140524|4910330968717399418|19601282.33
1669705080822|1657795655755|201254608348119759|260082878480646595|21695585.79
1669705111161|1668937778632|4806748177287878817|4908079168903712545|34006214.2
1669705144724|1668361590206|4807874077194725463|4906108844066740378|3581471.82
1669705504923|1661027497699|4809562927054994263|4882183471046337642|3467718.4
1669705527416|1653495087927|4705698660648748004|4857695148072501869|80564.02
1669706028418|1652364486483|4797178028079724377|4854035973375271421|8400044.15
1669706925888|1657579416890|4814910951612490423|4871205946954618191|6805265.61
1669707705931|1658039172785|4738912707900621593|4872613321838176591|1458339.91
1669707734609|1669207929657|4722587159251396151|4908923593833846566|13364414.93
1669708053787|1668264076418|4785637554034582140|4905827369090028846|14807107.77
1669708376656|1668727699619|4814910951612489909|4907516218950292476|15096772.19
1669708555264|1634444599825|166070236259287378|184084634768769225|22826553.57
1669709426074|1630134709162|4781696904360634404|4767623155525097605|1095357.12
1669709524833|1655917532105|4810970301938546583|4865576447420408366|31936014.63
1669710225096|1668565530448|200691658394705335|295267250569482765|7404105.57
1669710565509|1649376959669|4760867756084051724|4844465824167110319|16200185.32
1669710925976|1634877089905|4797178028079727125|4730186983622584518|378210.46
1669711532765|1667566119121|4815473901565917873|4903575569276347415|51265.62
1669712267211|1667214529314|161566636631920152|290763650942109931|5200347.54
1669712453857|1651538661147|203506408161806525|239816680157480337|5301834.55
1669714602287|1669399110284|193654783976934277|297800525359875930|1617652.97
1669714650139|1647811307102|4802526052637219666|4839399274586312886|18312914.85
1669714762697|1663518912165|4793800328359187786|4890346245370940660|17179845.46
1669715356217|1666525962663|203506408161807269|288511851128424299|3037344.82
1669716452556|1623945261763|4761712181014182857|4734690583249953966|20117874.11
1669716748041|1650307267760|4729342558692444617|4847562048910919165|6788294.63
1669716857719|1649853720830|204069358115229003|234187180623267957|7376300.39
1669717632979|1665776352706|4807029652264590358|4897664594765418802|4707304.71
1669717850924|1643389671762|180425460071535820|213358032346680530|12038022.07
1669718274334|1664704497229|111745565754138990|282600876617503813|15731871.61
1669719188400|1664918590265|4797740978033148463|4894849844998318294|25081118.62
1669720037053|1647204533753|4750453181945748026|4837428949749338139|18123.47
1669720286726|1659922398060|4736660908086920054|4878805771325800990|1880386.45
1669721137489|1640711678413|4693313761673494739|4816318326496045030|32796.23
1669721450918|1657731391653|4801118677753671782|4871487421931330981|293918.73
1669721607538|1667590116907|4799429827893396005|4903575569276338556|32251190.97
1669721728828|1611086670103|4703446860835070366|4719772409484285086|21835620.7
1669722207485|1667298349733|4815473901565909889|4902731144346210523|33789608.28
1669722558205|1668594078240|4720898309391133891|4906953268996873056|29510723.57
1669722758539|1640337238185|4812096201845382135|4814910951612485913|66242127.08
1669722838055|1652583819955|4806466702311172561|4854880398305401213|6281224.66
1669723228856|1664572538266|205195258022069097|282037926664077841|4662828.9
1669723601169|1640679042522|4756364156456666394|4816036851519324976|17352838.8
1669724227154|1639940858000|4813785051705641840|4696972936370718484|10254973.37
1669724476505|1658239135694|4765089880734712596|4873176271791597900|683577.83
1669724954671|1616768024967|4729061083715743908|4738349757947190737|11057861.29
1669726356310|1669683170505|4786763453941423513|4910612443694109178|1078369.02
1669726811745|1668368955176|202661983231676631|294422825639348856|9306028.06
1669727022012|1635183421105|4798303927986565780|4706543085578886920|4600112.05
1669727392919|1653093487136|4815473901565918169|4856569248165668023|11892388.53
1669728011038|1661647532649|4816036851519336229|4884435270860020932|40746587.47
1669728211059|1669511240879|190277084256405358|298363475313296564|82743883.69
1669728318825|1666348869601|4766497255618259772|4899634919602395749|630669.07
1669728496786|1666586937956|205476732998779815|288793326105133613|1054879.23
1669729488686|1626501068430|158188936911395722|146085512912834765|287192.66
1669729594983|1665738196152|4810125877008410008|4897664594765420228|454972.41
1669729673243|1655893019655|4809281452078272309|4865576447420402002|9357363.43
1669731378741|1669480644218|4790704103615369316|4909768018763975166|1599639.9
1669731886421|1639771753960|4813222101752220860|4773815605012727774|8904330.94
1669731966230|1661927997562|205195258022076843|273593677362762857|142529.77
1669732225000|1624886391824|4764526930781286901|4764808405757992626|2120022.29
1669732325443|1637824642504|161566636631921140|195062158860487466|179176.44
1669733323056|1667240199636|186617909559168991|290763650942110202|14862760.98
1669733342167|1655736711047|4809281452078279880|4865013497466985318|2077673.66
1669733482712|1667204742465|202943458208383265|290763650942107818|277076.69
1669733891789|1647636942052|191684459139963317|227150306205503411|1467168.7
1669736854205|1630105276598|4764526930781278762|4781696904360626949|43996559.88
1669738741096|1668824960530|4803370477567361419|4907797693927008347|4397562.5
1669738886221|1627178615727|4729905508645870083|4772126755152465915|13405736.88
1669738892413|1660845699284|4812659151798811025|4881620521092916053|28807271.49
1669739596999|1667852903215|4810688826961837794|4904419994206480029|16066445.86
1669739794786|1660022916669|175640385467457911|267401227875128395|7156225.02
1669740180558|1657438315112|4815192426589192762|4870642997001191807|28684888.23
1669740555883|1659565124134|197876908627592508|265993852991570762|3283422.0
1669740916189|1626675668954|4770437905292211899|4745949582318379409|2684292.87
1669741302394|1665167147373|4790985578592081572|4895694269928443392|20016808.18
1669742054168|1631908836393|4787607878871555349|4729342558692446653|21246278.05
1669742158610|1651657378011|4798022453009849461|4851784173561581931|35740299.23
1669742376052|1669132592325|4661788564281893517|4908642118857135414|4175183.63
1669743009044|1668952576345|4812940626775517790|4908079168903715303|55385949.65
1669743198097|1669300797528|4806748177287882614|4909205068810557449|2536213.42
1669743258776|1661395108287|4799711302870112765|4883590845929885686|62291.7
1669743898468|1669592345973|4814348001659073348|4910330968717401972|2635240.63
