createTime|dependencyTime|fromId|toId|amount
1669690472633|1654447777299|4860791372816321481|0202943458208383787|1550589.7483152787
1669690639801|1646871775428|4836303049842492233|4745105157388240759|4483351.860609908
1669690800713|1658970455650|4837710424726045120|4875709546581983803|4635886.834566024
1669690827538|1655126609873|4863043172630006801|4660099714421622762|3852526.5264779394
1669691624350|1668987780831|0296674625453032060|0195062158860486587|3036655.616361166
1669692090515|1641112827673|4817444226402881416|0107804916080181742|8104673.28503514
1669692172056|1650351584339|0235876030483531180|0189995609279694818|4403277.236436875
1669692721227|1663797966180|0279786126850393345|4821666351053539620|1208523.4284193069
1669693600664|1667536838176|0291889550848951584|4851502698584869251|5268718.247189042
1669693946838|1655261787637|4791267053568787056|4863606122583428446|9758043.77535445
1669694815338|1649271600287|0232498330763002901|0198721333557724548|6162532.4096887335
1669694985056|1658510720602|0262334678294333469|4682617712558475247|7819628.774344984
1669695432869|1644306126038|4727653708832180458|4827858800541172542|1016266.7372479639
1669695561739|1640857642009|4816599801472749575|4794644753289315953|4797410.406703173
1669695777539|1661485210088|0272186302479205284|0146085512912831294|7767053.079278007
1669696811482|1654909144437|0182677259885217839|0250794204249195178|4196858.663275297
1669698624954|1666806549127|0093731167244649238|0289356276058556419|752462.6682495972
1669698681142|1665924607094|4675862313117419332|4898227544718839437|490196.59109998506
1669699188258|1637096609562|4712735535066514535|4804496377474188918|8372728.076171604
1669699481892|1653137146233|4856569248165659532|4816599801472748356|3084996.938192461
1669699544399|1656878240752|4868672672164218872|4814066526682351826|3117151.0045156637
1669699681007|1645558354252|4831517975238410539|0220394906764443906|1957886.2010342125
1669699987586|1642030248603|4820540451146695788|4703165385858353757|4523786.036295136
1669700571779|1652716483993|4855161873282105402|4848124998864340986|9422272.471528415
1669701271028|1646215741752|4834051250028807285|4783385754220889143|8728767.050600972
1669701286803|1668751135077|4907516218950291579|0146366987889543252|3440708.180079031
1669701408764|1639403183277|4700913586044667237|4811814726868664515|9869250.539661879
1669701487677|1651082198545|0238127830297215274|4722868634228100970|6817622.724031334
1669702001479|1654985991702|0229402106019186355|4862761697653296098|3046688.730229328
1669702425257|1646141656486|0205195258022068828|4833769775052095746|3801289.4545304165
1669703988663|1665924607094|0208572957742597056|4898227544718839437|8822169.38231877
1669704058440|1664093636171|4892316570207915776|4844465824167102434|153917.35523452188
1669705328746|1638981907530|4689373111999532835|0199002808534434099|5152923.242880311
1669705330729|1640654088883|0161003686678496613|4816036851519324974|9663105.243112482
1669706285338|1646618451598|4817725701379588277|0223772606484972780|306632.0236870801
1669706827909|1646141656486|4777756254686677140|4833769775052095746|4546064.167707687
1669707169886|1651112815105|4850095323701316100|4826732900634332633|3679166.3280355437
1669708230332|1652245533164|4853754498398552614|4816599801472748356|8306088.1651206715
1669708465941|1630219684857|0170292360909948711|4753267931712851777|4669513.39770661
1669708881725|1648320789007|0201254608348119805|4841088124446573668|5125898.027480567
1669709032456|1663723396369|0220957856717866873|4891190670301069806|7183377.681563912
1669709879197|1639696491191|0172825635700342790|0201254608348119192|7173224.016222269
1669710102121|1639955145568|4791267053568787617|0202099033278251978|990123.4982585594
1669710128231|1654898317412|4862480222676585885|4852910073468423060|6637182.512232586
1669710491991|1641844716043|4780289529477072202|4819977501193274088|6468851.771642988
1669710962916|1634990034716|4797459503056423270|0183521684815348834|4167042.178953413
1669711709436|1667078006733|4845873199050654016|4901886719416074836|5104816.048341346
1669712454042|1647078884366|0225179981368526919|0203787883138516015|4870253.36044641
1669712741342|1641496308394|0207165582859044791|0188869709372851469|5869649.9993766425
1669712865259|1666730406176|4812096201845377858|0289074801081844615|1808786.5120867619
