createTime|dependencyTime|companyId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669696429938|1621737765356|6597069768362|298926425266719016|41678561.0|41678561.0|business ventures|0.068|Bank of America
1669699142093|1613489799371|5497558140076|298926425266718303|65340662.0|65340662.0|medical expenses|0.088|Patch of Land
1669707525454|1635251299742|8796093025742|298926425266721398|61272312.0|61272312.0|renovations|0.026|Bank of America
1669713034266|1595910930111|2199023257755|298926425266719684|9869880.0|9869880.0|education|0.017|Fundrise
1669720622662|1593924045042|2199023258549|298926425266720688|63819057.0|63819057.0|funerals|0.096|Chase Bank
1669727453708|1595958269277|2199023256052|298926425266717331|50064174.0|50064174.0|business ventures|0.086|Discover
1669731743728|1640117005292|9895604650493|298926425266717344|29662622.0|29662622.0|vacations|0.059|Prosper
1669737335278|1631866865883|8796093025837|298926425266721513|54390801.0|54390801.0|weddings|0.038|Fundrise
1669743723295|1606076322238|4398046511381|298926425266717041|89569103.0|89569103.0|other|0.09|Roofstock
1669748326156|1595424765748|2199023257380|298926425266719175|60219283.0|60219283.0|renovations|0.098|LendingPoint
1669768866051|1629613603259|7696581394618|299207900243427575|41659054.0|41659054.0|funerals|0.03|LendingPoint
1669773428042|1605808384306|4398046514487|299207900243431883|52693670.0|52693670.0|medical expenses|0.086|US Bank
1669775543638|1637509442280|9895604651372|299207900243429248|23195609.0|23195609.0|business ventures|0.067|Fundrise
1669781693154|1621924662795|6597069770148|299207900243431990|80749412.0|80749412.0|vacations|0.093|TD Bank
1669786202149|1595958269277|2199023256052|299207900243427985|77485664.0|77485664.0|medical expenses|0.086|Peerform
1669789561889|1610310138465|4398046512180|299207900243428793|6110919.0|6110919.0|education|0.013|Rocket Loans
1669790454725|1636648734712|9895604650346|299207900243427806|2696119.0|2696119.0|weddings|0.05|Prosper
1669793544667|1604112823530|4398046513816|299207900243431010|61953950.0|61953950.0|business ventures|0.05|TD Bank
1669801236817|1639138325165|9895604651944|299207900243430011|42767277.0|42767277.0|debt consolidation|0.029|Patch of Land
1669823159165|1615404654244|5497558142276|299207900243431892|27836261.0|27836261.0|renovations|0.028|Rocket Loans
1669828177254|1632098106948|8796093023194|299207900243428680|29785169.0|29785169.0|funerals|0.062|Navy Federal Credit Union
1669831726827|1638016786684|9895604653558|299207900243432108|40990829.0|40990829.0|education|0.046|Discover
1669860083705|1640608070982|9895604652671|299489375220141637|71196547.0|71196547.0|debt consolidation|0.062|TD Bank
1669863374631|1594291674227|2199023256394|299489375220139129|25495058.0|25495058.0|funerals|0.046|Earnest
1669867399428|1604968034218|4398046512506|299489375220139933|93507323.0|93507323.0|business ventures|0.077|Discover
1669874038034|1625729939222|7696581397513|299489375220142119|4003750.0|4003750.0|funerals|0.08|State Farm Bank
1669876147396|1584497090787|1099511629765|299489375220140700|60787571.0|60787571.0|weddings|0.006|Chase Bank
1669878416815|1602395406509|3298534884204|299489375220139170|49541610.0|49541610.0|weddings|0.084|SoFi
1669883451159|1624268106413|7696581398430|299489375220143311|15732781.0|15732781.0|funerals|0.057|Patch of Land
1669901586672|1623540088329|6597069768296|299489375220140246|93365987.0|93365987.0|investing|0.045|Patch of Land
1669918076845|1633059327307|8796093023751|299489375220140112|99652220.0|99652220.0|other|0.059|Prosper
1669920093975|1609343871892|4398046513605|299489375220141380|78176461.0|78176461.0|renovations|0.032|Patch of Land
1669928990639|1580764763626|685|299489375220138905|22450909.0|22450909.0|business ventures|0.034|Upstart
1669936961565|1616127040087|5497558140058|299770850196850250|79800057.0|79800057.0|other|0.057|Marcus by Goldman Sachs
1669957868419|1615178631259|5497558141376|299770850196852025|52058802.0|52058802.0|weddings|0.021|Fundbox
1669968044225|1632824620347|8796093023876|299770850196850934|95197769.0|95197769.0|debt consolidation|0.049|Rocket Loans
1669982396295|1624394140066|7696581395942|299770850196850723|23628749.0|23628749.0|other|0.088|Peerform
1669994618011|1634868590450|8796093023140|299770850196849917|4107840.0|4107840.0|vacations|0.068|Marcus by Goldman Sachs
1669999276899|1592858228308|2199023255593|299770850196848702|24963308.0|24963308.0|vacations|0.064|PNC Bank
1669999288323|1637080218638|9895604652147|299770850196851601|98028932.0|98028932.0|vacations|0.031|American Express
1670006698607|1614128814444|5497558139562|299770850196849554|86914468.0|86914468.0|vacations|0.075|Navy Federal Credit Union
1670008639886|1633375215252|8796093023006|299770850196849726|50601215.0|50601215.0|investing|0.072|Rocket Loans
1670011611295|1610424146101|4398046511811|299770850196849594|50322917.0|50322917.0|medical expenses|0.04|LendingClub
1670025616579|1613500174962|5497558138912|300052325173559341|6338837.0|6338837.0|renovations|0.096|LendingClub
1670040068780|1620289476178|6597069769462|300052325173563080|36267171.0|36267171.0|investing|0.048|US Bank
1670044967724|1636546079842|8796093022785|300052325173560073|31408657.0|31408657.0|debt consolidation|0.086|Roofstock
1670051208815|1632997383818|8796093024850|300052325173562874|47265620.0|47265620.0|major purchases|0.024|Rocket Loans
1670054267654|1633144367217|8796093023740|300052325173561412|16640183.0|16640183.0|renovations|0.028|PNC Bank
1670064705290|1589841126526|1099511630849|300052325173563420|31527156.0|31527156.0|investing|0.087|Avant
1670066829463|1625733944998|7696581396883|300052325173562633|473330.0|473330.0|medical expenses|0.02|Fundbox
1670095433558|1627626733366|7696581397964|300052325173564021|19012225.0|19012225.0|medical expenses|0.016|State Farm Bank
1670100304686|1612301531305|5497558141559|300052325173562931|29512901.0|29512901.0|other|0.043|Upstart
1670114529384|1624310444344|7696581397488|300333800150274052|6934592.0|6934592.0|renovations|0.02|OneMain Financial
1670127125942|1620956080519|6597069767407|300333800150270973|65812129.0|65812129.0|funerals|0.036|SunTrust
1670136707404|1615716534372|5497558139152|300333800150270313|77747768.0|77747768.0|business ventures|0.079|Patch of Land
1670160297392|1597805021528|3298534886550|300333800150274279|74448184.0|74448184.0|renovations|0.074|Citibank
1670161202201|1629592964872|7696581398247|300333800150275017|6028194.0|6028194.0|business ventures|0.029|Funding Circle
1670162312242|1629684674018|7696581397625|300333800150274239|32311583.0|32311583.0|debt consolidation|0.073|Navy Federal Credit Union
1670179794916|1608171744034|4398046511866|300333800150270993|72249549.0|72249549.0|business ventures|0.091|LendingPoint
1670183721161|1607629895117|4398046512130|300333800150271349|89491820.0|89491820.0|debt consolidation|0.004|OnDeck
1670197509394|1613907160500|5497558141232|300615275126983808|53115581.0|53115581.0|funerals|0.065|US Bank
1670214217714|1624394140066|7696581395942|300615275126982690|23162924.0|23162924.0|investing|0.036|OneMain Financial
1670217328963|1620596815362|6597069768936|300615275126983719|2970697.0|2970697.0|medical expenses|0.001|American Express
1670218349479|1606924213427|4398046512844|300615275126982998|60418696.0|60418696.0|funerals|0.03|OneMain Financial
1670223057825|1619839746895|6597069766943|300615275126980989|50157064.0|50157064.0|other|0.039|Wells Fargo
1670234541301|1597297012734|2199023259275|300615275126985553|85873094.0|85873094.0|weddings|0.063|LendingClub
1670237231035|1612090555753|5497558141368|300615275126983990|55106109.0|55106109.0|major purchases|0.094|Kabbage
1670238385774|1616887666463|5497558141816|300615275126984553|74459162.0|74459162.0|vacations|0.013|LendingPoint
1670272434263|1637060603780|9895604653860|300615275126985768|74779878.0|74779878.0|vacations|0.044|Kabbage
1670273151624|1611118564837|5497558140905|300615275126983380|30307127.0|30307127.0|debt consolidation|0.012|Peerform
1670301766270|1628347611489|7696581396899|300896750103694629|65367455.0|65367455.0|education|0.03|Chase Bank
1670314406942|1637955132783|9895604652760|300896750103695014|89855955.0|89855955.0|investing|0.002|TD Bank
1670318958599|1595885352814|2199023258599|300896750103695352|46389914.0|46389914.0|major purchases|0.003|Bank of America
1670319441674|1597902653967|3298534885430|300896750103694142|98346494.0|98346494.0|funerals|0.091|OneMain Financial
1670327954176|1617431530711|6597069769741|300896750103695406|2270241.0|2270241.0|education|0.094|LendingClub
1670344680051|1612513772611|5497558141045|300896750103694227|51210638.0|51210638.0|education|0.054|PNC Bank
1670399589482|1625730946156|7696581395278|301178225080403078|69313728.0|69313728.0|business ventures|0.081|LendingClub
1670406563395|1603863299802|3298534885084|301178225080404326|20874141.0|20874141.0|major purchases|0.042|OnDeck
1670442273243|1589544730650|1099511628232|301178225080402515|11988301.0|11988301.0|investing|0.073|OnDeck
1670448983876|1638608780728|9895604650743|301178225080402956|72160564.0|72160564.0|medical expenses|0.056|LightStream
1670453034580|1638149824289|9895604650067|301178225080402021|30154367.0|30154367.0|business ventures|0.002|American Express
1670453299523|1620596815362|6597069768936|301178225080405029|26501609.0|26501609.0|debt consolidation|0.084|SoFi
1670487974518|1638351899066|9895604653205|301459700057116898|21205539.0|21205539.0|major purchases|0.017|Discover
1670495605039|1603815203103|3298534885178|301459700057115123|97047763.0|97047763.0|renovations|0.081|TD Bank
1670503099542|1624727071239|7696581395306|301459700057113758|90373666.0|90373666.0|major purchases|0.016|Chase Bank
1670541328783|1620688815471|6597069770224|301459700057117349|19549910.0|19549910.0|renovations|0.012|Roofstock
1670550530170|1638754111057|9895604651211|301741175033824910|85432310.0|85432310.0|weddings|0.02|American Express
1670552044932|1640346301430|9895604651446|301741175033825250|14806370.0|14806370.0|education|0.026|Patch of Land
1670553324585|1580487990338|180|301741175033823471|686863.0|686863.0|renovations|0.018|Earnest
1670577516780|1618476156492|6597069767377|301741175033824211|44185688.0|44185688.0|debt consolidation|0.02|Fundrise
1670580006488|1604276149964|4398046512995|301741175033825832|79702959.0|79702959.0|business ventures|0.008|Navy Federal Credit Union
1670582859411|1614665775471|5497558139952|301741175033824691|60763941.0|60763941.0|medical expenses|0.076|Patch of Land
1670601773323|1587061236555|1099511628704|301741175033824497|13495695.0|13495695.0|education|0.074|Bank of America
1670611939912|1625950291319|7696581394493|301741175033823314|29468293.0|29468293.0|investing|0.022|Earnest
1670619341568|1632038860001|8796093023064|301741175033824402|53175775.0|53175775.0|major purchases|0.023|OnDeck
1670637221873|1636784825839|9895604651119|302022650010535424|96116589.0|96116589.0|other|0.078|Peerform
1670671746751|1606890287595|4398046513698|302022650010537409|20897750.0|20897750.0|other|0.063|Navy Federal Credit Union
1670680469267|1612564463029|5497558142635|302022650010538874|66352760.0|66352760.0|education|0.037|LightStream
1670712271439|1581196889084|2027|302022650010536668|17858563.0|17858563.0|medical expenses|0.095|SunTrust
1670718853295|1601568022808|3298534883667|302304124987244992|56483609.0|56483609.0|business ventures|0.076|Citibank
1670722366418|1595781078548|2199023258802|302304124987248908|53279922.0|53279922.0|other|0.011|LendingClub
1670725048529|1583999765876|1910|302304124987247171|12607731.0|12607731.0|medical expenses|0.098|BlueVine
1670732587999|1632739540031|8796093023124|302304124987245787|57054529.0|57054529.0|debt consolidation|0.053|BlueVine
1670747661615|1627865128081|7696581395595|302304124987246134|10233582.0|10233582.0|other|0.07|Navy Federal Credit Union
1670760609167|1598883665016|3298534886874|302304124987249283|34554200.0|34554200.0|debt consolidation|0.097|LendingClub
1670762397044|1636360632695|8796093023651|302304124987246541|58151321.0|58151321.0|vacations|0.04|Kabbage
1670787236970|1638737130860|9895604651836|302304124987247094|92527208.0|92527208.0|funerals|0.051|American Express
1670799910642|1637250654656|9895604652304|302304124987247711|32162729.0|32162729.0|other|0.065|Funding Circle
1670800738521|1637969019585|9895604650190|302304124987244816|99545891.0|99545891.0|weddings|0.036|Citibank
1670810007176|1629347284839|7696581395980|302585599963957340|73718768.0|73718768.0|education|0.019|State Farm Bank
1670811632158|1603505351722|3298534886133|302585599963958980|39369547.0|39369547.0|vacations|0.08|Navy Federal Credit Union
1670821266886|1598367990049|3298534883509|302585599963955440|51859852.0|51859852.0|debt consolidation|0.031|Chase Bank
1670839885415|1639098911748|9895604651609|302585599963957441|24467640.0|24467640.0|debt consolidation|0.057|Citibank
1670847130905|1636479228998|8796093025722|302585599963959902|62977937.0|62977937.0|major purchases|0.073|Fundrise
1670851034911|1600253873867|3298534885734|302585599963958474|97099808.0|97099808.0|major purchases|0.082|Funding Circle
1670889173220|1594735458728|2199023258435|302867074940669737|9573784.0|9573784.0|major purchases|0.076|Fundbox
1670899795137|1600016899089|3298534885388|302867074940668684|3551579.0|3551579.0|other|0.069|Marcus by Goldman Sachs
1670905879633|1601568022808|3298534883667|302867074940666302|89563365.0|89563365.0|funerals|0.067|Prosper
1670945275997|1638648976994|9895604650219|302867074940666175|44319065.0|44319065.0|debt consolidation|0.095|Prosper
1670947383414|1637314500204|9895604649996|302867074940665869|80837517.0|80837517.0|renovations|0.096|Capital One
1670963663040|1582679424595|2100|302867074940668727|31780510.0|31780510.0|other|0.039|Chase Bank
1670972086329|1619343083833|6597069769248|302867074940669373|86822243.0|86822243.0|weddings|0.035|Wells Fargo
1670986213358|1627452656133|7696581394902|303148549917377139|65416384.0|65416384.0|vacations|0.049|Upgrade
1670986525026|1636514640339|8796093024019|303148549917378992|76392836.0|76392836.0|other|0.076|Upstart
1670993319151|1640729488034|9895604653827|303148549917381620|57522954.0|57522954.0|education|0.046|OneMain Financial
1670998627658|1585742056399|1099511630472|303148549917380172|12401003.0|12401003.0|education|0.004|PNC Bank
1671009421710|1612875358814|5497558140184|303148549917378316|68297403.0|68297403.0|weddings|0.015|BlueVine
1671015003874|1627256956094|7696581394870|303148549917377086|34667985.0|34667985.0|other|0.031|State Farm Bank
1671025269064|1624217927352|7696581395960|303148549917378625|66195422.0|66195422.0|renovations|0.028|LendingPoint
1671043171232|1612067020609|5497558139263|303148549917377023|60414792.0|60414792.0|renovations|0.034|Bank of America
1671044858633|1577984290352|237|303148549917376836|25291639.0|25291639.0|vacations|0.035|Marcus by Goldman Sachs
1671072947668|1612460979553|5497558139347|303430024894087785|74188228.0|74188228.0|major purchases|0.088|Fundrise
1671073639727|1636253219971|8796093024683|303430024894090538|93488119.0|93488119.0|business ventures|0.076|PNC Bank
1671077074913|1586178109448|1099511631686|303430024894092377|79155648.0|79155648.0|debt consolidation|0.083|American Express
1671077458452|1595899121607|2199023257684|303430024894090090|44717110.0|44717110.0|medical expenses|0.003|LendingClub
1671120628662|1588051687782|1099511628197|303430024894087719|95885237.0|95885237.0|major purchases|0.043|Navy Federal Credit Union
1671127439032|1640808426076|9895604653527|303430024894091903|8218426.0|8218426.0|investing|0.062|Avant
1671156935024|1584257279804|1588|303711499870800014|8754217.0|8754217.0|investing|0.076|Kabbage
1671156970788|1618644346170|6597069769823|303711499870802081|67774961.0|67774961.0|medical expenses|0.005|Capital One
1671158352881|1583517171265|2522|303711499870801252|44891674.0|44891674.0|major purchases|0.08|Citibank
1671159665868|1607409582849|4398046514660|303711499870802577|24217729.0|24217729.0|weddings|0.049|OnDeck
1671160206833|1597048200327|2199023258628|303711499870801953|51498755.0|51498755.0|other|0.093|Capital One
1671181508455|1640559195787|9895604652193|303711499870800839|23175527.0|23175527.0|major purchases|0.053|Rocket Loans
1671187217220|1587706739058|1099511629707|303711499870800478|29326957.0|29326957.0|weddings|0.061|OneMain Financial
1671192731345|1619089378124|6597069769009|303711499870801025|79333577.0|79333577.0|business ventures|0.012|Citibank
1671198335834|1585992716329|1099511630942|303711499870802079|32685652.0|32685652.0|renovations|0.011|Rocket Loans
1671202404245|1634554348304|8796093023999|303711499870800283|56033929.0|56033929.0|business ventures|0.087|US Bank
1671205052904|1603815203103|3298534885178|303711499870800369|48898174.0|48898174.0|other|0.002|Patch of Land
1671207966741|1634860429361|8796093024690|303711499870801200|84251098.0|84251098.0|major purchases|0.081|Earnest
1671208838949|1625699914159|7696581397006|303711499870801318|40070652.0|40070652.0|medical expenses|0.027|Marcus by Goldman Sachs
1671215924439|1591410747634|2199023259446|303711499870803021|93425968.0|93425968.0|education|0.002|Fundbox
1671249833192|1623742388015|7696581397707|303992974847512881|28042962.0|28042962.0|major purchases|0.06|RealtyMogul
1671252504339|1640506209170|9895604651203|303992974847510151|77918908.0|77918908.0|funerals|0.094|Bank of America
1671254012180|1640883434484|9895604652700|303992974847512167|49076590.0|49076590.0|medical expenses|0.02|American Express
