createTime|dependencyTime|fromId|toId|relation
1669691606591|1630405356511|8796093022905|6597069769462|business associate
1669722759135|1620338638924|3548|6597069768641|business associate
1669727053055|1627367884852|7696581397306|2474|business associate
1669756456848|1628840378608|7696581397871|4398046512037|business associate
1669800390173|1640349922996|3359|9895604652805|business associate
1669813725935|1637841381966|2199023257643|9895604651177|business associate
1669825976222|1632196238134|8796093023477|1099511628165|business associate
1669843122813|1637645738940|9895604650800|5497558142769|business associate
1669864012772|1635801213023|2199023256944|8796093022688|business associate
1669879109897|1614138554244|5497558142251|3298534886054|business associate
1669886828939|1624394140066|2750|7696581395942|business associate
1669921314901|1639273304663|8796093023646|9895604651538|business associate
1669933413834|1637264347008|9895604651721|2199023258845|business associate
1669947596702|1640030750677|9895604650387|2935|business associate
1669964547496|1640288224380|6597069767182|9895604653813|business associate
1669971040657|1627099870858|7696581396877|5497558142547|business associate
1669982589274|1624006351268|7696581394791|4398046514976|business associate
1669991444924|1626052000186|7696581395934|3298534885508|business associate
1669995893193|1615279517208|5497558139480|2199023257338|business associate
1670020793780|1638333357165|9895604650640|2199023258050|business associate
1670048711081|1627980348265|7696581395070|7696581396691|business associate
1670082615035|1615403295506|5497558140836|4398046513793|business associate
1670144388476|1614398104523|2199023258096|5497558141588|business associate
1670172080825|1640739625199|7696581397025|9895604651493|business associate
1670183842637|1638492382992|692|9895604651539|business associate
1670192101046|1638333357165|9895604650640|2869|business associate
1670195635972|1594060123357|2199023259461|2199023256887|business associate
1670206998791|1626854609261|5497558142841|7696581396006|business associate
1670253744921|1623069283592|5497558140761|6597069770066|business associate
1670266232259|1605919084742|4398046511728|1099511627925|business associate
1670284938085|1623031704978|6597069770177|2199023256277|business associate
1670316538852|1599375937977|2199023258404|3298534887320|business associate
1670397417009|1633059327307|5497558141271|8796093023751|business associate
1670448036755|1606735986468|3298534886290|4398046513640|business associate
1670479857339|1640615612559|5497558140276|9895604650345|business associate
1670541112626|1623050430079|2199023257635|6597069768114|business associate
1670555387011|1616127040087|2292|5497558140058|business associate
1670605099969|1638334183288|1436|9895604650545|business associate
1670616941720|1625720067551|3298534883349|7696581396516|business associate
1670627146785|1637693301205|3836|9895604650363|business associate
1670652184803|1633675766146|3298534885878|8796093023221|business associate
1670657108383|1596974933766|2199023256128|2199023259370|business associate
1670675994092|1638460349303|2199023258660|9895604650068|business associate
1670681020507|1639608950141|9895604651329|8796093024539|business associate
1670699228578|1629203187609|1099511630585|7696581396624|business associate
1670704415275|1627220822639|1066|7696581397225|business associate
1670709191817|1593810063346|2199023257850|2199023256909|business associate
1670785599219|1637721102377|9895604653508|1099511631277|business associate
1670794126589|1625316440909|7696581396240|5497558141188|business associate
1670804104702|1626353856540|4398046511938|7696581398210|business associate
1670825488838|1639082641424|2199023256059|9895604652335|business associate
1670826492837|1609853320468|3298534886530|4398046512583|business associate
1670881496157|1621810848296|6597069770239|2199023258368|business associate
1670881714312|1610412842424|1099511628623|4398046514221|business associate
1670887224955|1637368864630|3358|9895604650807|business associate
1670898634693|1632267368117|5497558140484|8796093023448|business associate
1670899633013|1632739540031|4398046512130|8796093023124|business associate
1670950075409|1621159087679|4398046511717|6597069769012|business associate
1670957368533|1592593611961|1099511631677|2199023257981|business associate
1670978570434|1588550669515|1099511628769|1099511629619|business associate
1670980926567|1615239711514|1099511628346|5497558140607|business associate
1670983589429|1633375215252|8796093023006|7696581394449|business associate
1670992188204|1631182377985|6597069770634|8796093023680|business associate
1671014854605|1627749527573|7696581397711|7696581396960|business associate
1671025595779|1637549606524|9895604653110|7696581394800|business associate
1671029661398|1613152390729|5497558138899|1099511630871|business associate
1671047606065|1614411984979|5497558142136|4398046513761|business associate
1671069744983|1607294395660|4398046512759|2199023256304|business associate
1671078618418|1583554527829|2075|180|business associate
1671082656209|1608305364201|1588|4398046514250|business associate
1671094387855|1608571499505|2199023258111|4398046511491|business associate
1671173835001|1600212536775|3298534883709|3393|business associate
1671245940770|1638852595287|9895604652085|6597069768689|business associate
1671260271002|1611031519343|1099511628390|5497558138987|business associate
1671264327647|1639593949280|9895604651119|9895604653002|business associate
1671309064674|1621076642189|6597069769779|4398046514473|business associate
1671325758900|1615514830395|5497558142677|2199023258510|business associate
1671326874385|1594388764728|2199023259334|1099511631387|business associate
1671350547909|1617992845000|6597069766706|4398046511479|business associate
1671364227085|1595363412976|2100|2199023258912|business associate
1671382748586|1627646733713|1691|7696581397036|business associate
1671419352724|1616118782732|5497558141373|3298534887320|business associate
1671460323085|1601330138712|3298534887073|2199023259176|business associate
1671477513640|1635329726424|5497558142769|8796093023722|business associate
1671485493909|1640990085031|1099511628000|9895604651033|business associate
1671507439842|1607278605044|4398046512608|4398046515076|business associate
1671510543065|1605024254680|3298534883349|4398046514979|business associate
1671518785988|1599936167056|1099511631595|3298534884935|business associate
1671559192007|1604598382498|2199023257165|4398046512202|business associate
1671595429171|1592713782483|1099511629300|2199023257941|business associate
1671596262809|1637368864630|2199023256052|9895604650807|business associate
1671617783472|1639557196334|9895604651048|5497558139588|business associate
1671680047181|1629938005974|7696581397271|4398046514723|business associate
1671709192847|1612150006845|1099511628788|5497558142674|business associate
1671717045899|1626342762354|2199023257518|7696581395706|business associate
1671735463541|1640030750677|9895604650387|5497558140774|business associate
1671747940827|1621053281924|4398046511280|6597069766987|business associate
1671769889101|1600592404722|3298534884943|2199023258025|business associate
1671785155055|1632994108623|8796093024447|2199023256128|business associate
1671794216408|1609242050230|4398046512880|3298534885533|business associate
1671794425784|1596451228131|2199023257466|1099511630039|business associate
1671835779210|1638821477724|9895604650706|4398046514021|business associate
1671842235874|1625472919327|1099511628168|7696581395451|business associate
1671884825326|1638796110376|9895604653180|7696581395583|business associate
1671893668178|1623610492434|7696581395734|1099511629832|business associate
1671917268539|1634906829732|7696581397243|8796093022247|business associate
1671920384778|1640922618265|9895604651537|3560|business associate
1671926708862|1634334098437|8796093024853|4398046511943|business associate
1671940889749|1637702490794|5497558140231|9895604650775|business associate
1671944461574|1635055460296|8796093025462|2199023256568|business associate
1671957341576|1593379719639|142|2199023256275|business associate
1672012797752|1640409524335|9895604651455|1099511627802|business associate
1672043889233|1639018299370|8796093025837|9895604653427|business associate
1672050291346|1627055563686|6597069767064|7696581395848|business associate
1672075903348|1637169132435|8796093023648|9895604651743|business associate
1672085516171|1624071474396|7696581396649|2199023258223|business associate
1672095613055|1632994108623|1099511629576|8796093024447|business associate
1672131067367|1620586665412|6597069767890|2804|business associate
1672152094295|1605813186673|4398046514492|1099511629581|business associate
1672163870069|1639257416855|5497558141981|9895604653621|business associate
1672168907309|1620191061856|5497558142478|6597069769139|business associate
1672186283747|1616449229649|5497558139598|5497558142327|business associate
1672209886071|1608023268926|796|4398046513778|business associate
1672224626479|1639138325165|6597069769715|9895604651944|business associate
1672271223038|1638946199584|2199023256765|9895604651982|business associate
1672305338765|1638640728782|4398046514857|9895604653363|business associate
1672306672197|1639018299370|6597069769183|9895604653427|business associate
1672351223290|1626023657181|7696581395796|5497558139562|business associate
1672359465315|1627770414508|7696581394489|7696581396848|business associate
1672380760221|1620338638924|6597069768641|3298534886231|business associate
1672454178065|1603505351722|2075|3298534886133|business associate
1672455092116|1625655176978|1346|7696581395419|business associate
1672475087872|1593773300946|1099511631270|2199023257616|business associate
1672480650275|1590274589098|3868|1099511628072|business associate
1672516861693|1632267368117|8796093023448|8796093023894|business associate
1672523089632|1629378648812|7696581395327|1099511628747|business associate
