createTime|dependencyTime|accountId|loanId|amount
1669691017334|1669602489032|4815473901565908453|4910330968717397359|2743528.87
1669692109616|1669480063915|4807029652264599111|4909768018763982393|47138.02
1669692297322|1662975015772|4735535008180091226|4888657395510682412|1811653.08
1669692304784|1651772024828|4798303927986561654|4852065648538293548|19223436.36
1669692347558|1647236280456|4796896553103004529|4837428949749337029|31597378.53
1669692598590|1657159162362|4775504454872998393|4869798572071064795|2623208.37
1669692720580|1666582802487|4812940626775520946|4900479344532529552|53996591.38
1669693117358|1655225635612|4768467580455223587|4863324647606714580|32516495.38
1669693236826|1637217485106|4804777852450907954|4638707616191616982|1755792.46
1669694738721|1666519150937|4812096201845387762|4900197869555818161|15033413.99
1669695158450|1652300789719|183521684815353310|242349954947878254|21174974.26
1669696035467|1668860924249|4806466702311178267|4907797693927008079|27618738.63
1669696095732|1658357857634|4811814726868665479|4873739221745009363|12813565.8
1669696893281|1644861056123|4801681627707093118|4829829125378153910|4121116.86
1669697710734|1640410374312|4815192426589194532|4801681627707082137|50506919.05
1669698441022|1665285037450|4645744490609379201|4896257219881862280|659734.18
1669698622382|1666631171336|4782259854314061515|4900479344532530838|81820922.62
1669699103964|1663607199718|163818436445606229|278941701920262858|36708.13
1669699504187|1625790492489|4640677941028595559|4767623155525097472|42320955.48
1669699738041|1664137367611|4807029652264591740|4892316570207917183|3406576.52
1669699977237|1644613467901|4759741856177198691|4828984700448017860|59727855.13
1669700088579|1656773027261|204350833091937130|256705178760118803|6903556.37
1669700162580|1615639332377|4734690583249954219|4669951338606499533|1622048.98
1669700418124|1654251305300|201536083324834468|248542404435512215|297496.63
1669701253326|1620958179117|26177172834099353|140174538401911723|10835215.51
1669701256961|1668779946781|4766497255618252167|4907516218950289486|597509.68
1669701322876|1662667744587|4809844402031705424|4887531495603840406|581557.65
1669701547149|1669411409234|4813503576728933185|4909486543787264929|2618389.45
1669701905628|1660709368662|147774362773099633|269653027688811686|21417943.53
1669701952114|1669161416999|4787044928918141265|4908923593833849639|66502251.7
1669702123247|1637871776108|4790985578592085698|4807029652264589180|343613.12
1669702341307|1639818002860|4749045807062192321|4813222101752220223|9987594.41
