createTime|dependencyTime|mediumId|accountId|location
1669690464378|1665624810943|57174604649831|4810125877008417058|Thailand -> Songkhla
1669692427607|1662216164131|52776558142252|4791548528545501651|Canada -> Fredericton
1669692938166|1629402956320|30786325580045|145522562959409262|India -> Davangere
1669693105538|1659931367470|52776558133751|204350833091938206|England -> Birmingham
1669694180949|1665001546084|57174604651997|4816881276449472439|India -> Tamil_Nadu
1669694564351|1607416923289|758|4707950460462438799|Japan -> Bunkyo
1669694572874|1640706470591|30786325583926|4816036851519324503|Philippines -> Angeles
1669695217079|1647844821025|43980465119321|189432659326276345|Romania -> Galați
1669695785190|1629382078946|30786325578469|4749608757015620559|Belarus -> Bobruysk
1669696760532|1642922087039|39582418603167|4807874077194727767|India -> English_Bazar
1669697507126|1620582819082|26388279066761|4739194182877322354|Canada -> Saskatoon
1669697783085|1659625040939|52776558137979|4795489178219459302|Indonesia -> Central_Jakarta
1669698113371|1667332839039|57174604645390|4784793129104442363|China -> Fengcheng,
1669698212817|1644533038207|43980465118679|124974889659536639|Colombia -> Tunja
1669698797939|1658516888493|52776558138205|4807592602218008792|United_States -> Jacksonville
1669698847207|1663526967934|57174604645859|4816881276449463558|Ukraine -> Kharkiv
1669699013039|1661959178900|52776558137313|4696128511440593459|Taiwan -> Hsinchu
1669699424459|1633546977274|13194139541898|4792955903429065455|France -> Lille
1669700508257|1607960910295|17592186047458|4677269688000971795|Vietnam -> Quảng_Ngãi
1669700665477|1666848641675|57174604645404|4816881276449464947|Mexico -> Mérida
1669700957588|1656800674716|52776558136725|4622382067542401162|England -> Newcastle_upon_Tyne
1669701114126|1649959216525|48378511629172|4720616834414411795|Mexico -> Antón_Lizardo
1669701507211|1667059624579|57174604647127|4754393831619695645|South_Africa -> Cape_Town
1669701853593|1669665069800|61572651163214|4787889353848265389|South_Korea -> Gwangju
1669702032470|1623402109113|13194139533541|4759741856177198863|South_Africa -> Bloemfontein
1669702779512|1666740221346|57174604651036|4667136588839403371|Tanzania -> Arusha
1669703802122|1635762785413|5712|4799992777846829469|China -> Chenzhou
1669704349984|1660984985096|52776558139623|4748201382132064006|Cuba -> Ciego_de_Ávila
1669704374383|1640928322562|35184372098134|205195258022076933|Tanzania -> Unguja
1669704506583|1609073483177|8796093027234|101612466592547121|Hungary -> Debrecen
1669704591583|1665923491592|57174604646790|4809844402031697857|Ukraine -> Lviv
1669704948779|1638725722756|21990232555673|4809844402031700309|China -> Changji
1669705097984|1634842651491|6701|4797178028079715387|Germany -> Nuremberg
1669705701172|1668037930308|57174604654149|4778037729663388752|India -> Manipal
1669705835728|1656186948864|48378511631536|159033361841523282|Niger -> Niamey
1669706340920|1664524067672|57174604648091|4785074604081158204|Malaysia -> Selangor
1669706414056|1623853574018|21990232557353|4761430706037464126|Cambodia -> Ta_Khmau
1669707030875|1619829890983|17592186046298|4748201382132062799|Malaysia -> Nilai
1669707099576|1642506140165|39582418604037|200410183417993926|Croatia -> Zagreb
1669709740743|1656088446136|48378511625894|4790704103615379073|Spain -> Salamanca
1669710219817|1663559140580|57174604651857|4727372233855476084|Germany -> Kempten
1669710334126|1657606806187|52776558133547|117093590311639534|Thailand -> Narathiwat
1669710873222|1647844483297|43980465113399|4768749055431949305|South_Africa -> Bloemfontein
1669711366184|1640782868885|8796093022674|204632308068647815|Ukraine -> Mykolaiv
1669711518522|1636984706019|39582418602371|4640959416005308503|Mexico -> Querétaro
1669711703952|1642880038240|39582418601198|126382264543091646|China -> Dalian
1669712562713|1640573479905|17592186048806|204069358115231736|India -> Shibpur
1669713200272|1629321123154|8796093030022|4779163629570241269|China -> Dalian
1669713385662|1633895071273|35184372096361|151715012447046739|India -> Bankura
1669714121781|1664399909434|57174604644723|4815192426589197252|Japan -> Tokyo
1669714585773|1653476184977|48378511624580|200128708441277604|Sri_Lanka -> Ratmalana_Airport
1669715180860|1653481181654|48378511623484|4702320960928229348|China -> Chizhou
1669715669604|1648745047707|43980465112550|169166461003112427|Latvia -> Riga
1669715768621|1639610998179|35184372090878|200973133371412067|Niger -> Maradi
1669716029214|1640378463139|3244|4815192426589197252|Democratic_Republic_of_the_Congo -> Bas-Congo
1669716188991|1642390507546|39582418600451|4648840715353194505|China -> Beitun
1669718232583|1667887495596|57174604648595|4805622277381035239|China -> Hefei
1669718669264|1658390885131|52776558136999|4779163629570245113|Senegal -> Louga
1669718942114|1669667360794|61572651156018|4803370477567355157|China -> Baotou
1669720418815|1631975179924|35184372096026|111464090777426472|Vietnam -> Tuy_Hòa
1669721935237|1666715444980|57174604646139|203787883138517405|Cuba -> Jagüey_Grande
1669722347349|1664023540789|57174604645121|205195258022073358|Greece -> Piraeus
1669723416565|1660826054838|52776558142897|4776348879803134061|China -> Enshi
1669723452883|1632657217029|8796093031776|4789859678685248349|Japan -> Akita_City
1669724616726|1669433480989|61572651163780|4800837202776965540|Japan -> Nagoya
1669724961623|1666686239197|57174604650167|202380508254962156|Cameroon -> Douala
1669725082858|1662051439494|52776558134784|4804214902497487421|Canada -> Saskatoon
1669725278496|1669520210908|61572651163136|91197892454260281|Canada -> London
1669725761438|1657966131454|52776558140035|4757208581386813947|Vietnam -> Nghe_An_province
1669726610186|1667526031241|57174604644627|191965934116670959|China -> Dongyang
1669727992240|1668697196867|57174604652088|4777474779709971900|China -> Songjiang_District
1669729229522|1660753569824|52776558139040|4706824560555599562|Iran -> Zanjan
1669729554457|1630467981812|26388279070135|171136785840083550|China -> Dujiangyan
1669729681353|1662149820288|52776558138505|4785919029011294929|Indonesia -> Serang
1669730293362|1639701833778|39582418602672|165788761282582277|Moldova -> Comrat
1669730392876|1631109693233|35184372091363|117093590311635158|Vietnam -> Mỹ_Tho
1669731227560|1622057869580|26388279066900|138204213564935964|India -> Tiruvallur_district
1669731493967|1665923491592|57174604646790|4809844402031697857|India -> Jalpaiguri
1669731988541|1622640489718|4398046511913|4757490056363524176|China -> Nanjing
1669732683849|1652836066284|48378511623429|4799148352916688021|Pakistan -> Risalpur
1669732846176|1618513844145|26388279066724|4714424384926788433|Germany -> Greifswald
1669734530210|1640255277773|35184372091633|4814629476635786696|India -> Dum_Dum
1669735032053|1665828898372|57174604652083|69805794224245189|Brazil -> Manaus
1669735357694|1629781167955|4398046512559|4780571004453791289|Venezuela -> Nueva_Esparta
1669735462200|1669703926500|61572651155948|150870587516917282|China -> Changning
1669735939823|1639888760354|35184372094928|4813503576728929473|Japan -> Nara
1669736059974|1648300659696|43980465118998|4740320082784163714|China -> Dexing
1669736452648|1640065668475|26388279075299|4814066526682363128|United_States -> Berkeley
1669736682589|1661316320437|52776558133513|78531518502277222|India -> Kandivali
1669736808274|1646950723765|43980465115273|169729410956533784|Tanzania -> Dar_es_Salaam
1669737323800|1639981423252|39582418601980|4771000855245625650|China -> Shijiazhuang
1669737530620|1666519215881|57174604648707|4745386632364963204|Egypt -> Alexandria
1669737658614|1667969496588|57174604649494|4708794885392571426|Philippines -> San_Miguel
1669737814001|1656314563659|52776558135076|4757490056363519345|Peru -> Arequipa
1669737885964|1639720209681|8796093024055|201254608348126996|India -> Srinagar
1669738076245|1655958033020|48378511627254|195625108813914053|China -> Putian
1669738420854|1648112644447|43980465111297|4729905508645878015|Nepal -> Lumbini
1669739604426|1630265672598|13194139536784|4782259854314061948|Netherlands -> Utrecht
1669739859454|1638141642320|30786325587389|4807874077194730745|Russia -> Saratov
1669740144516|1637839688973|35184372094567|4806748177287883191|United_States -> Chicago
1669740911221|1654770823144|48378511623188|150026162586781263|China -> Dongying
1669740966217|1631106123696|17592186046526|4784793129104456031|England -> Leicester
1669741532149|1666158828373|57174604649240|4724838959065083481|Italy -> Rome
1669741779417|1668759014941|57174604652196|4812096201845387956|India -> Ranchi
