createTime|dependencyTime|mediumId|mediumType|isBlocked|lastLoginTime|riskLevel
1669693085822|0|61572651155949|MAC|false|1671725959917|Critical risk
1669703926500|0|61572651155948|WIFI|false|1671507440128|Very high risk
1669710213263|0|61572651158578|IPv6|false|1671052558236|Low risk
1669728039061|0|61572651163459|RFID|false|1671865847796|High risk
1669750299426|0|61572651163829|WIFI|false|1670588391490|Severe risk
1669765706733|0|61572651158572|IPv6|false|1670018313234|Moderate risk
1669769613985|0|61572651161302|ATM|false|1670524807491|Moderate risk
1669783274463|0|61572651159160|WIFI|false|1671995696433|Very high risk
1669785046324|0|61572651164057|QRCode|false|1671039354829|Critical risk
1669790830215|0|61572651155680|ATM|false|1671706438483|Critical risk
1669831873727|0|61572651165455|ATM|false|1670639196963|Very high risk
1669833301025|0|61572651164334|ATM|false|1671731300092|Low risk
1669858577025|0|61572651159658|NFC|false|1672048585204|Severe risk
1669873812703|0|61572651162974|WIFI|false|1672066420347|Moderate risk
1669895284373|0|61572651158276|NFC|false|1671525571018|Minimal risk
1669925393308|0|61572651165261|QRCode|false|1671268370916|Low risk
1669925738746|0|61572651164208|NFC|false|1672445470407|Critical risk
1669932122748|0|61572651158930|IPv6|false|1671236477262|Minimal risk
1669978050102|0|61572651159139|RFID|false|1672071183533|Significant risk
1669999517956|0|61572651157793|ATM|false|1671273549614|Moderate risk
1670001308925|0|61572651160014|NFC|false|1670089340871|Extreme risk
1670009519716|0|61572651158132|PHONE|false|1670133546012|Extreme risk
1670018084522|0|61572651157659|WIFI|false|1671810681546|Low risk
1670021769493|0|61572651164461|NFC|false|1671076152889|Moderate risk
1670026080415|0|61572651159828|WIFI|false|1671328492406|Critical risk
1670027205347|0|61572651159418|NFC|false|1672499322424|Critical risk
1670029991908|0|61572651160308|POS|false|1671163193978|Extreme risk
1670031632839|0|61572651156221|ATM|true|1671497119084|Minimal risk
1670046124613|0|61572651158764|WIFI|true|1670937688906|Critical risk
1670052576268|0|61572651155745|PHONE|false|1670890940475|High risk
1670062107194|0|61572651157553|PHONE|false|1670093579733|Significant risk
1670077344369|0|61572651158129|QRCode|false|1671145447309|Extreme risk
1670101691408|0|61572651162899|MAC|false|1671792540251|Extreme risk
1670107629144|0|61572651157265|ATM|false|1671014379382|Critical risk
1670117572350|0|61572651162429|PHONE|false|1670152639682|Critical risk
1670120590235|0|61572651157599|IPv4|false|1672356133812|Low risk
1670128646192|0|61572651161837|PHONE|false|1672363158191|Extreme risk
1670156976375|0|61572651156254|NFC|false|1672047924054|High risk
1670206929228|0|61572651163123|RFID|false|1671932830249|Very high risk
1670210562555|0|61572651156505|RFID|false|1670943410380|Low risk
1670212389866|0|61572651159493|IPv4|false|1671947808229|Minimal risk
1670212639014|0|61572651164725|NFC|false|1671771125343|Severe risk
1670213986291|0|61572651155570|NFC|false|1670994473379|Critical risk
1670225786639|0|61572651161670|MAC|false|1671412504106|Critical risk
1670238539562|0|61572651163416|ATM|false|1671793240502|Extreme risk
1670241239797|0|61572651157200|POS|false|1670450726349|Minimal risk
1670256406596|0|61572651164242|RFID|false|1672249131693|High risk
1670259858524|0|61572651163333|MAC|false|1670998532090|Significant risk
1670260740882|0|61572651164615|NFC|false|1671459494389|Very high risk
1670261663293|0|61572651162237|QRCode|false|1671692617000|Minimal risk
1670262539362|0|61572651160101|IPv4|false|1671654570198|Low risk
1670266894953|0|61572651156991|IPv4|false|1671937986013|Extreme risk
1670274356013|0|61572651157130|POS|false|1670339297171|Severe risk
1670274527050|0|61572651164692|RFID|false|1670672112974|Moderate risk
1670277445407|0|61572651165305|WIFI|false|1671311330025|Minimal risk
1670279489523|0|61572651165108|QRCode|false|1671508823398|Moderate risk
1670293005208|0|61572651156560|ATM|true|1671011008225|Low risk
1670293853905|0|61572651164554|POS|false|1670453386422|Extreme risk
1670301401442|0|61572651165139|IPv4|false|1671654332124|Minimal risk
1670327374393|0|61572651165173|QRCode|false|1670658128247|High risk
1670329335314|0|61572651156557|ATM|false|1670664604614|Low risk
1670334045288|0|61572651155856|NFC|false|1672363174907|Minimal risk
1670335256592|0|61572651160777|NFC|false|1670910704937|Significant risk
1670335455354|0|61572651160611|IPv6|false|1671129935547|Moderate risk
1670336889092|0|61572651161913|ATM|false|1671993027768|Extreme risk
1670339352394|0|61572651161886|QRCode|false|1671678300784|Moderate risk
1670360215057|0|61572651159374|QRCode|false|1672264072283|Very high risk
1670379657938|0|61572651163487|WIFI|false|1670841347000|Critical risk
1670389137401|0|61572651161208|IPv4|false|1671946339051|Extreme risk
1670392709669|0|61572651162107|NFC|false|1671283493149|Significant risk
1670402311319|0|61572651160744|ATM|false|1671773271792|Severe risk
1670415090675|0|61572651159626|IPv4|false|1671337747908|Moderate risk
1670429196489|0|61572651157676|POS|false|1671529441787|Significant risk
1670435860645|0|61572651162773|ATM|false|1672531042150|Minimal risk
1670441144860|0|61572651165260|NFC|false|1670823042589|Critical risk
1670447511810|0|61572651156432|ATM|false|1671630481250|Extreme risk
1670466691514|0|61572651162004|RFID|false|1671091498893|Severe risk
1670473156680|0|61572651158384|NFC|false|1670634094660|High risk
1670487866668|0|61572651158236|IPv4|false|1672040452556|Moderate risk
1670488281087|0|61572651158639|MAC|false|1670488673397|High risk
1670498631309|0|61572651161106|IPv6|false|1671677814609|Moderate risk
1670523260938|0|61572651162585|ATM|false|1670941672287|Minimal risk
