createTime|dependencyTime|personId|loanId|loanAmount|balance|loanUsage|interestRate|org
1669692124752|1600500806724|6597069766746|4910612443694104719|2341061.0|2341061.0|education|0.079|Bank of America
1669707529718|1632138839474|17592186048883|4910612443694110514|58206600.0|58206600.0|major purchases|0.07|Funding Circle
1669722235049|1640603227169|19791209301338|4910612443694106444|31892553.0|31892553.0|medical expenses|0.055|OnDeck
1669722997527|1585243027477|2199023262514|4910612443694113953|96229744.0|96229744.0|renovations|0.054|Avant
1669724434088|1627695087275|15393162796721|4910612443694115176|49358907.0|49358907.0|major purchases|0.086|Chase Bank
1669726049281|1604586133384|8796093029515|4910612443694114413|37115787.0|37115787.0|education|0.1|Peerform
1669727480994|1639079321273|19791209305033|4910612443694111362|53506549.0|53506549.0|investing|0.058|Fundbox
1669728379760|1637858318105|19791209306782|4910612443694113765|78019128.0|78019128.0|investing|0.027|Marcus by Goldman Sachs
1669732492603|1634145825270|17592186051326|4910612443694113891|18839635.0|18839635.0|medical expenses|0.005|Kabbage
1669741150610|1640580288317|19791209306244|4910612443694113020|64981466.0|64981466.0|renovations|0.021|Fundbox
1669750673271|1578790972349|4905|4910612443694111144|530485.0|530485.0|debt consolidation|0.021|Fundbox
1669753814197|1640773192772|19791209303745|4910612443694109654|1018768.0|1018768.0|vacations|0.032|Citibank
1669771441177|1610476282345|8796093024692|4910893918670818583|34004617.0|34004617.0|vacations|0.049|SunTrust
1669772916917|1609071848874|8796093024417|4910893918670818182|67579645.0|67579645.0|business ventures|0.099|State Farm Bank
1669783045149|1590540704360|2199023263453|4910893918670825901|90154676.0|90154676.0|renovations|0.046|Marcus by Goldman Sachs
1669787955497|1623284375060|13194139538474|4910893918670822166|58062430.0|58062430.0|vacations|0.071|State Farm Bank
1669791188960|1595941712199|4398046513604|4910893918670818612|85819556.0|85819556.0|funerals|0.073|Citibank
1669792694426|1617537918737|13194139538047|4910893918670821571|32856180.0|32856180.0|other|0.063|Upstart
1669796109752|1625197327698|15393162790203|4910893918670817056|21857624.0|21857624.0|major purchases|0.09|US Bank
1669823223982|1626161023108|15393162793293|4910893918670821121|1056368.0|1056368.0|vacations|0.088|LightStream
1669832819599|1605314060217|8796093023545|4910893918670817052|24967686.0|24967686.0|vacations|0.009|Upstart
1669838062819|1622889464602|13194139535155|4910893918670817714|15751214.0|15751214.0|debt consolidation|0.055|Avant
1669838090024|1630352007236|17592186048486|4910893918670820710|97015576.0|97015576.0|other|0.009|Fundrise
1669841412052|1599645476482|6597069771393|4910893918670821573|87568230.0|87568230.0|medical expenses|0.082|Avant
1669850851930|1584245421632|6062|4911175393647534061|38364585.0|38364585.0|funerals|0.014|LendingPoint
1669854755806|1617231044193|13194139537750|4911175393647531795|30497169.0|30497169.0|education|0.041|Chase Bank
1669867494235|1635380586006|17592186044925|4911175393647526575|31657282.0|31657282.0|major purchases|0.051|Upstart
1669875553232|1603527725836|6597069767317|4911175393647526781|45423558.0|45423558.0|major purchases|0.057|BlueVine
1669878047156|1598283120903|6597069769654|4911175393647529936|48503598.0|48503598.0|business ventures|0.013|Navy Federal Credit Union
1669898385430|1612617079576|10995116280521|4911175393647529638|89855955.0|89855955.0|investing|0.002|Capital One
1669903471201|1639226213389|19791209300236|4911175393647526273|40898290.0|40898290.0|weddings|0.085|Navy Federal Credit Union
1669906979572|1607162526378|8796093027637|4911175393647533185|54410605.0|54410605.0|weddings|0.085|Avant
1669907203370|1635137875832|17592186051627|4911175393647535589|12909690.0|12909690.0|investing|0.034|Citibank
1669919186033|1585481513704|2199023260930|4911175393647533109|92257800.0|92257800.0|education|0.056|Prosper
1669920528536|1629885957026|15393162791089|4911175393647528869|42667100.0|42667100.0|business ventures|0.024|Fundbox
1669921036733|1607526389553|8796093029355|4911175393647535490|98905818.0|98905818.0|other|0.092|PNC Bank
1669923497258|1579994746137|5061|4911175393647532666|20684782.0|20684782.0|vacations|0.051|LendingPoint
1669924042273|1613549444853|10995116283602|4911175393647533770|71092004.0|71092004.0|education|0.021|RealtyMogul
1669932883856|1633883175941|17592186048847|4911175393647531786|87175000.0|87175000.0|debt consolidation|0.035|LightStream
