createTime|dependencyTime|fromId|toId|relation|startTime|endTime|truncation_limit|truncation_order|amount_threshold
1669704432129|1640552557886|19791209304854|4101|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669736958769|1629259570342|15393162793262|6597069768526|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669747600235|1621408452220|1844|13194139539504|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669756884526|1617025075120|4398046514561|10995116284117|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669771719280|1625059871637|13194139540684|15393162789642|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669782916512|1628269294148|15393162795243|8796093023344|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669789258093|1585499296421|4271|2199023259685|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669826276604|1619723891867|8796093023935|13194139534299|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669965376241|1640684682619|19791209307206|4398046515332|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669975845525|1640529470108|19791209302763|10995116281238|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1669981756689|1617787395206|13194139537778|4398046517010|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670005180823|1602811927442|6597069767167|2199023259347|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670449955880|1624713993848|15393162796468|8796093029127|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670487551209|1623802941179|15393162791776|10995116285515|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670508937787|1616949178469|10995116285287|10995116277860|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670523599663|1621869464921|13194139541199|6705|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670551424175|1594021473917|2847|4398046513731|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670573257161|1624430491391|2496|15393162789537|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670614362280|1626445834866|6597069769214|15393162790479|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670665570831|1620143096404|2199023260879|13194139541003|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670680172624|1628319531140|15393162793669|8796093024830|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670810813764|1633232456604|17592186049515|10995116278622|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670821493740|1613078488879|6597069769161|10995116284275|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670884782712|1638690001233|2199023259335|19791209305638|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670932427803|1603786085041|2199023262824|6597069770604|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1670999946371|1634283893096|2199023255808|17592186047955|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671043747444|1611117746158|10995116283668|5189|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671046734462|1614237824441|10995116285752|4402|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671165799957|1622615644471|13194139540086|13194139537840|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671252563432|1638702963852|19791209306138|6900|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671281156033|1610970695492|10995116281284|8796093023729|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671294347545|1639240276325|19791209304876|6597069773132|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671301688343|1629532008558|6597069771430|15393162791128|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671347380855|1620324075050|13194139539085|13194139538053|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671381930251|1629823920926|10995116279830|15393162790611|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671405866138|1602654112108|6597069771809|6597069771000|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671432670074|1600962376885|6597069771524|2199023262592|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671524075975|1640500970708|19791209306553|4398046515444|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671563888485|1608949851950|6597069769974|8796093029204|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671596413756|1623363850273|4398046511391|13194139538692|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671747572869|1607594769549|985|8796093027830|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671868919518|1639873948558|19791209303110|15393162794775|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671921394411|1635438140959|17592186049553|8796093022364|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671960461873|1609032210480|8796093029318|8796093022709|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1671968366739|1616371423077|10995116281688|10995116281050|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672068037556|1625319907171|15393162794695|13194139540185|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672090850595|1636618281076|17592186050026|10995116280439|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672131454855|1596112951616|2199023259351|4398046512871|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672204725590|1619229743991|13194139538962|10995116284130|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672214579115|1627780392461|15393162795820|4398046512812|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672250120889|1628925775979|15393162789052|15393162792135|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672256556608|1608656827834|8796093027492|2199023261987|business associate|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672265114375|1604699019248|8796093022294|6597069767394|friends|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672345685334|1626275008502|15393162791691|8796093029002|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672353871509|1613855361738|10995116284743|8796093022917|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672364697935|1636293652877|17592186051281|13194139536509|parents|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672378864576|1601037323366|6597069774462|1637|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672403259676|1634037853641|13194139537129|17592186045574|siblings|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
1672441239225|1640136336280|17592186047931|19791209305080|other relatives|1669704432129|1672441239225|500|TIMESTAMP_DESCENDING|10000
