createTime|dependencyTime|fromId|toId|relation
1669731231538|1624343793576|13194139535421|15393162796651|business associate
1669736875661|1628198959349|13194139536263|15393162792746|siblings
1669751773446|1597217560896|4398046516725|4398046517859|siblings
1669764667420|1634215761389|4398046511695|17592186051028|siblings
1669766791762|1638480023807|17592186049866|19791209304661|friends
1669781087968|1594853025642|4398046518202|5543|parents
1669792264571|1631471547884|7184|17592186044801|other relatives
1669802758921|1634800637121|13194139538826|17592186050977|friends
1669817644807|1624719333408|4398046513184|15393162795689|business associate
1669822156617|1639542003838|13194139535336|19791209300893|other relatives
1669834162708|1609384103650|8796093028546|2199023259554|business associate
1669843368584|1605966141796|8796093029079|4398046518133|siblings
1669852188298|1634343348388|17592186049075|4398046516268|friends
1669860761623|1640492728691|19791209303079|8796093028892|friends
1669862157889|1623792047261|15393162791228|10995116284120|siblings
1669868749647|1616980610448|6597069769881|10995116282644|business associate
1669871930296|1619081972629|13194139537282|10995116278196|business associate
1669876100044|1624847458929|15393162790576|13194139534641|friends
1669888992258|1632425820233|17592186050215|13194139540947|siblings
1669897728266|1638143212623|19791209300203|6597069766811|parents
1669901726198|1621772158873|8796093026896|13194139541178|friends
1669914064309|1634178682328|6597069772502|17592186045570|parents
1669936090555|1629510363044|15393162796089|15393162791880|business associate
1669937083781|1631228089290|8796093025847|17592186048153|business associate
1669944617302|1637461484538|19791209307864|17592186045863|siblings
1669955517040|1639262746803|19791209305389|8796093025705|friends
1669992722009|1624771639792|2199023262937|15393162793450|business associate
1669997011205|1602341666343|6597069771037|4161|siblings
1669998639675|1639107241345|4398046517525|19791209305296|friends
1670026483585|1628604520797|15393162794993|4477|business associate
1670033135281|1637807687588|2199023257656|19791209300249|siblings
1670050147115|1604773307279|2199023256343|8796093029937|friends
1670127927588|1627531099726|15393162795333|6597069769996|parents
1670132006947|1635452053884|17592186047025|6597069772963|friends
1670141198484|1635949649352|17592186051661|2199023255844|friends
1670156024585|1606153964500|8796093025676|2199023261666|friends
1670160604607|1633230159604|13194139534258|17592186050052|friends
1670171834172|1634293878724|17592186045254|17592186047591|business associate
1670201249919|1625031099669|6597069767100|15393162790090|friends
1670207983059|1635783164914|15393162792245|17592186049970|other relatives
1670224472993|1620587892016|13194139539515|4054|siblings
1670226447804|1630981480684|4398046512530|17592186049894|siblings
1670245979646|1608239144905|8796093026507|4398046514443|siblings
1670248109288|1631599798178|10995116277966|17592186046126|siblings
1670248996189|1633496381355|17592186052345|4398046518851|business associate
1670254294298|1640845841788|19791209303996|15393162795388|business associate
1670263304892|1611887618883|6597069773177|10995116278765|parents
1670267417637|1639040845604|19791209306881|2199023261428|business associate
1670279680890|1605176435886|6597069768072|8796093022589|siblings
1670281505617|1618786782443|2199023262139|13194139536215|friends
1670320708209|1639994557612|19791209302298|15393162794062|siblings
1670328193024|1638100905238|19791209304826|10995116283500|other relatives
1670347519132|1630013125107|10995116279870|15393162790892|siblings
1670365419061|1633796480848|2199023260077|17592186044419|siblings
1670376942717|1587183490511|2199023258475|2199023258085|siblings
1670386248451|1638736238440|2199023262131|19791209300227|siblings
1670388616755|1635067232570|17592186050334|17592186047325|friends
1670391222155|1616525921202|10995116279757|8796093023669|business associate
1670422688023|1626061664889|13194139539931|15393162790922|friends
1670440632736|1633350289121|7126|17592186046422|business associate
1670450663458|1622615644471|10995116284445|13194139537840|parents
1670482846549|1633951680521|17592186051294|3955|parents
1670499397370|1625130343049|6597069770994|15393162796657|parents
1670525333925|1631600816326|17592186050897|10995116281180|friends
1670542575095|1606888403376|8796093026857|8796093025583|friends
1670549419665|1624798285347|13194139533866|15393162789185|friends
1670554437011|1638413212860|19791209303694|13194139535983|friends
1670573159294|1609961816664|8796093025043|4398046518680|parents
1670590884194|1624153390118|6597069774622|15393162790730|siblings
1670635328739|1634313665948|17592186048671|13194139536001|friends
1670652610992|1620481866235|13194139540512|10995116277966|siblings
1670657629660|1611100658678|2199023255855|10995116283414|parents
1670657885386|1627128521664|15393162796283|13194139537326|business associate
1670659093960|1625817881400|8796093022377|15393162794162|friends
1670695889236|1626122552110|6414|15393162793994|siblings
1670696091880|1591939667334|4398046512765|3124|friends
