deleteTime|dependentDate|accountId
1669691815124|1631932110482|4787607878871548810
1669694329602|1638035760850|4807592602218007221
1669697141067|1637225457547|4804777852450903541
1669701366036|1632215496718|176766285374292261
1669703750034|1637031162089|192528884070097198
1669706765452|1637514227624|194217733930354882
1669713449128|1631111798536|4785074604081163658
1669713690040|1631628435626|4786763453941425277
1669727781408|1632916689947|179018085187977352
1669728890670|1636303617325|4801963102683802083
1669736146688|1637059228937|4804214902497488489
1669736576421|1614280707829|118500965195188741
1669739893773|1637043918361|4804214902497478144
1669740703508|1636782254221|4803370477567348339
1669741586431|1637228480992|4804777852450902059
1669743148187|1636153889679|189714134302986268
1669745082881|1621878652901|4754956781573124410
1669758514716|1628902608961|4777756254686679539
1669761559414|1636691608208|4803089002590643462
1669767071304|1633849525826|4793800328359190459
1669772089968|1637128757357|4804496377474196146
1669772995032|1624819990671|4764526930781288352
1669773065501|1627389304730|4772971180082595527
1669778645055|1626403662822|157907461934684733
1669780530768|1637898380367|4807029652264587626
1669780857635|1633284042671|4792111478498927677
1669782108822|1637209739879|4804777852450912491
1669782172586|1638110654912|4807592602218017180
1669783622920|1637354786908|4805340802404324189
1669785128057|1632342584402|4789015253755111105
1669787710542|1602692517659|80783318315959563
1669787897534|1631208131881|4785356079057876880
1669792601445|1634880730733|4797178028079717315
1669794842703|1636596887107|4802807527613923505
1669796082594|1637645993452|4806185227334453806
1669800310173|1636012952191|189151184349563390
1669802459166|1630010705401|4781415429383924986
1669813449162|1636261008522|4801681627707096093
1669816048298|1636204777466|4801400152730382310
1669820743863|1637339805313|4805340802404321021
1669821026381|1637109792448|192810359046800791
1669822854898|1636616310048|191121509186544225
1669824974715|1636900666242|4803651952544064653
1669827525247|1629174827042|166914661189425179
1669830667042|1618863363705|133419138960856169
1669832207497|1638054900221|195906583790621248
1669837493584|1622684076130|4757490056363513351
1669839425846|1632528237085|177892185281140124
1669849315021|1635681538212|4799711302870107390
1669856262196|1619489934835|4747075482225230201
1669856635117|1637621889242|4806185227334464151
1669859557871|1634241245532|183521684815347978
1669862322297|1636791846145|4803370477567361419
1669866401091|1602756556039|4692750811720059235
1669868632322|1638329265138|196751008720749150
1669869364347|1631378048820|4785919029011299788
1669875052727|1624386000344|4763119555897736411
1669883058305|1637983562362|4807311127241299972
1669888388294|1637295026883|4805059327427615767
1669893228475|1604663540764|4698943261207699716
1669899665699|1615711518381|4734690583249953601
1669903247880|1633056876279|4791267053568798922
1669903879657|1632670117304|4790141153661949645
1669914232039|1633737859302|4793518853382473292
1669916338816|1635277763016|4798585402963272787
1669919756869|1619747709074|4747919907155347603
1669922169065|1637940032015|4807311127241305228
1669936196058|1635047337475|4797740978033135791
1669943101241|1632797250744|4790422628638655819
1669946107124|1638047016208|4807592602218021078
1669948247270|1638235513505|4808155552171427316
1669950179196|1624348703441|4762838080921012285
1669961030708|1623812515936|4761149231060747463
1669964110259|1633994075538|182677259885224410
1669966664426|1629216432407|4778882154593519213
1669967296019|1637230407100|193091834023513856
1669970086599|1632531507639|4789578203708534869
1669971862265|1630011867901|169729410956528768
1669983870603|1637020266853|4804214902497479122
1669987997705|1637202642891|4804777852450902442
1669995097505|1621335444369|4752986456736145538
1669995386583|1637475621045|193936258953646072
1669997235826|1636957539080|4803933427520779103
