creationDate|dependencyTime|srcId|dstId|time|amount|startTime|endTime|truncationLimit|truncationOrder
1583857157641|0|1|1|99999|0|1|1|10000|ASC
1583877167642|0|2|2|99999|0|2|2|10000|ASC
1583877167643|0|3|3|99999|0|3|3|10000|ASC
1583877167644|0|4|4|99999|0|4|4|10000|ASC
1583877167645|0|5|5|99999|0|5|5|10000|ASC
1583877167646|0|6|6|99999|0|6|6|10000|ASC
1583877167647|0|7|7|99999|0|7|7|10000|ASC
1583877167648|0|8|8|99999|0|8|8|10000|ASC
1583877167649|0|9|9|99999|0|9|9|10000|ASC
1583877177641|0|1|0|99999|0|1|0|10000|ASC
1583877177642|0|2|1|99999|0|2|1|10000|ASC
1583877177643|0|3|2|99999|0|3|2|10000|ASC
1583877177644|0|4|3|99999|0|4|3|10000|ASC
1583877177645|0|5|4|99999|0|5|4|10000|ASC
1583877177646|0|6|5|99999|0|6|5|10000|ASC
1583877177647|0|7|6|99999|0|7|6|10000|ASC
1583877177648|0|8|7|99999|0|8|7|10000|ASC
1583877177649|0|9|8|99999|0|9|8|10000|ASC
