creationDate|dependencyTime|srcId|dstId|time|amount|amountThreshold|startTime|endTime|ratioThreshold
1583857157641|0|1|1|99999|1|0.1|1|1|0.1
1583857157641|0|2|2|99999|2|0.2|2|2|0.2
1583857157641|0|3|3|99999|3|0.3|3|3|0.3
1583877167644|0|4|4|99999|4|0.4|4|4|0.4
1583877167645|0|5|5|99999|5|0.5|5|5|0.5
1583877167646|0|6|6|99999|6|0.6|6|6|0.6
1583877167647|0|7|7|99999|7|0.7|7|7|0.7
1583877167648|0|8|8|99999|8|0.8|8|8|0.8
1583877167649|0|9|9|99999|9|0.9|9|9|0.9
1583877177641|0|1|0|99999|1|0.0|1|0|0.0
1583877177642|0|2|1|99999|2|0.1|2|1|0.1
1583877177643|0|3|2|99999|3|0.2|3|2|0.2
1583877177644|0|4|3|99999|4|0.3|4|3|0.3
1583877177645|0|5|4|99999|5|0.4|5|4|0.4
1583877177646|0|6|5|99999|6|0.5|6|5|0.5
1583877177647|0|7|6|99999|7|0.6|7|6|0.6
1583877177648|0|8|7|99999|8|0.7|8|7|0.7
1583877177649|0|9|8|99999|9|0.8|9|8|0.8
