creationDate|dependencyTime|accountId|mediumId|mediumBlocked|time
1583857157641|0|1|1|true|99999
1583877167642|0|2|2|true|99999
1583877167643|0|3|3|true|99999
1583877167644|0|4|2|true|99999
1583877167645|0|5|3|true|99999
1583877167646|0|6|2|true|99999
1583877167647|0|7|3|true|99999
1583877167648|0|8|2|true|99999
1583877167649|0|9|3|true|99999
1583877177641|0|1|1|true|99999
1583877177642|0|2|2|true|99999
1583877177643|0|3|3|true|99999
1583877177644|0|4|2|true|99999
1583877177645|0|5|3|true|99999
1583877177646|0|6|2|true|99999
1583877177647|0|7|3|true|99999
1583877177648|0|8|2|true|99999
1583877177649|0|9|3|true|99999
